ori_tissue,ori_cell_type
thyroid tumor,mast cell
tumor tissue,macrophage
multiple cancer types,cdcs
tumor,monocytes
tumor,monocytes
tumor,monocytes
tumor or adjacent normal tissue,monocytes
tumor or adjacent normal tissue,monocytes
tumor or adjacent normal tissue,monocytes
tumor or adjacent normal tissue,monocytes
tumor,monocytes
tumor,monocytes
tumor,monocytes
tumor,monocytes
tumor,monocytes
tumor,monocytes
tumor,monocytes
tumor,monocytes
tumor,monocytes
tumor,monocytes
tumor,monocytes
multiple cancer types,macrophages
multiple cancer types,macrophages
multiple cancer types,lyve1+ macrophages
non-cancer tissues,nlrp3+ macrophages
tumor,spp1+ tams
tumor,c1qc+ tams
tumor,isg15+ tams
tumor,fn1+ tams
tumor,rtms
tumor,tams
tumor,tams
tumor,macrophages
kidney tumor,tams
kidney tumor,tams
skcm tumor,macrophages
tumor,cdcs
lung cancer,macrophage
lung cancer,macrophage
lung cancer,macrophage
lung cancer,macrophage
retina,retinal ganglion cells
lacrimal gland,epithelial cell
lacrimal gland,epithelial cell
lacrimal gland,epithelial cell
lacrimal gland,myoepithelial cell
lacrimal gland,myoepithelial cell
lacrimal gland,myoepithelial cell
lacrimal gland,myoepithelial cell
lacrimal gland,endothelial cell
lacrimal gland,endothelial cell
lacrimal gland,lymphocyte
lacrimal gland,lymphocyte
lacrimal gland,basal cell
lacrimal gland,acinar cell
lacrimal gland,acinar cell
lacrimal gland,acinar cell
lacrimal gland,acinar cell
lacrimal gland,acinar cell
lacrimal gland,acinar cell
lacrimal gland,acinar cell
lacrimal gland,acinar cell
lacrimal gland,acinar cell
lacrimal gland,acinar cell
lacrimal gland,acinar cell
lacrimal gland,acinar cell
lacrimal gland,ductal cell
lacrimal gland,ductal cell
lacrimal gland,ductal cell
lacrimal gland tissue,acinar cell
lacrimal gland tissue,acinar cell
lacrimal gland tissue,acinar cell
lacrimal gland tissue,acinar cell
lacrimal gland tissue,ductal cell
lacrimal gland tissue,ductal cell
lacrimal gland organoid,basal cell
lacrimal gland organoid,basal cell
lacrimal gland organoid,basal cell
lacrimal gland organoid,basal cell
lacrimal gland organoid,acinar cell
lacrimal gland organoid,differentiated cell
lacrimal gland organoid,differentiated cell
lacrimal gland organoid,differentiated cell
lacrimal gland organoid,differentiated cell
lacrimal gland organoid,differentiated cell
lacrimal gland,ductal cell
lacrimal gland,ductal cell
lacrimal gland,acinar cell
lacrimal gland,ductal and acinar cells
lacrimal gland,acinar cell
lacrimal gland,acinar cell
lacrimal gland,acinar cell
lacrimal gland,ductal cell
lacrimal gland,ductal cell
lacrimal gland,ductal cell
lacrimal gland,ductal progenitor
lacrimal gland,acinar cell
esophagus (barrett's esophagus),metaplastic cells
esophagus (barrett's esophagus),metaplastic cells
esophagus (barrett's esophagus),metaplastic cells
esophagus (barrett's esophagus),metaplastic cells
esophagus (barrett's esophagus),metaplastic cells
esophagus,barrett's esophagus cells
esophagus,barrett's esophagus cells
esophagus,barrett's esophagus cells
esophagus,barrett's esophagus cells
esophagus,barrett's esophagus cells
barrett's esophagus,epithelial cells
barrett's esophagus,epithelial cells
barrett's esophagus,epithelial cells
esophagus,columnar metaplasia cells
esophagus,columnar metaplasia cells
esophagus,columnar metaplasia cells
lge (lateral ganglionic eminence),d1-msns (d1 medium spiny neurons)
lge (lateral ganglionic eminence),d2-msns (d2 medium spiny neurons)
lge (lateral ganglionic eminence),mge interneurons
lge (lateral ganglionic eminence),mge interneurons
lge (lateral ganglionic eminence),mge interneurons
lge (lateral ganglionic eminence),dorsal lge (dlge) interneurons
lge (lateral ganglionic eminence),dorsal lge (dlge) interneurons
lge (lateral ganglionic eminence),dorsal lge (dlge) interneurons
striatum,pre-msn
striatum,pre-msn
striatum,pre-msn
striatum,pre-msn
striatum,d1-msns (patch cells)
striatum,d1-msns (patch cells)
striatum,d2-msns (patch cells)
striatum,d2-msns (patch cells)
lge (lateral ganglionic eminence),apical progenitors
lge (lateral ganglionic eminence),apical progenitors
striatum,d1-msns
striatum,d2-msns
striatum,d1-msns
striatum,d2-msns
striatum,d1-msns
striatum,d2-msns
brain,medium spiny neurons (msns)
brain,medium spiny neurons (msns)
brain,d1 msns
brain,d2 msns
cornea,qlscs (quiescent limbal stem cells)
cornea,qlscs (quiescent limbal stem cells)
colonic tissue,"cd8+ t cells (terminally differentiated, dysfunctional)"
gallbladder cancer,macrophage
gallbladder cancer,treg
gallbladder cancer,macrophage
gallbladder cancer,treg
gallbladder cancer,epithelial cell (subtype 1)
gallbladder cancer,epithelial cell (subtype 1)
gallbladder cancer,epithelial cell (subtype 1)
gallbladder cancer,epithelial cell (subtype 1)
gallbladder cancer,endothelial cell
gallbladder cancer,endothelial cell
gallbladder cancer,endothelial cell
gallbladder cancer,adipocyte
gallbladder cancer,adipocyte
gallbladder cancer,adipocyte
gallbladder cancer,pericyte
gallbladder cancer,pericyte
gallbladder cancer,pericyte
gallbladder cancer,pericyte
gallbladder cancer,fibroblast
gallbladder cancer,fibroblast
gallbladder cancer,fibroblast
gallbladder cancer,fibroblast
gallbladder cancer,fibroblast
gallbladder cancer,fibroblast
gallbladder cancer,fibroblast
gallbladder cancer,myofibroblast
gallbladder cancer,myofibroblast
gallbladder cancer,myofibroblast
gallbladder cancer,myofibroblast
gallbladder cancer,myofibroblast
gallbladder cancer,myofibroblast
gallbladder cancer,myofibroblast
gallbladder cancer,mast cell
gallbladder cancer,mast cell
gallbladder cancer,mast cell
gallbladder cancer,mast cell
gallbladder cancer,b cell (follicular)
gallbladder cancer,b cell (follicular)
gallbladder cancer,b cell (plasma)
gallbladder cancer,b cell (plasma)
gallbladder cancer,b cell (plasma)
gallbladder cancer,b cell (plasma)
gallbladder cancer,b cell (plasma)
gallbladder cancer,b cell (plasma)
gallbladder cancer,treg cell
gallbladder cancer,treg cell
gallbladder cancer,treg cell
gallbladder cancer,treg cell
gallbladder cancer,treg cell
gallbladder cancer,treg cell
gallbladder cancer,treg cell
gallbladder cancer,treg cell
gallbladder cancer,cd4+ t cell
gallbladder cancer,cd4+ t cell
gallbladder cancer,cd4+ t cell
gallbladder cancer,cd4+ t cell
gallbladder cancer,cd4+ t cell
gallbladder cancer,cd4+ t cell
gallbladder cancer,cd4+ t cell
gallbladder cancer,cd4+ t cell
gallbladder cancer,cd4+ t cell
gallbladder cancer,cd8+ t cell
gallbladder cancer,cd8+ t cell
gallbladder cancer,cd8+ t cell
gallbladder cancer,cd8+ t cell
gallbladder cancer,cd8+ t cell
gallbladder cancer,cd8+ t cell
gallbladder cancer,cd8+ t cell
gallbladder cancer,cd8+ t cell
gallbladder cancer,cd8+ t cell
gallbladder cancer,cd8+ t cell
gallbladder cancer,monocyte-like cell
gallbladder cancer,monocyte-like cell
gallbladder cancer,monocyte-like cell
gallbladder cancer,monocyte-like cell
gallbladder cancer,m1 macrophage
gallbladder cancer,m1 macrophage
gallbladder cancer,m1 macrophage
gallbladder cancer,m1 macrophage
gallbladder cancer,m2 macrophage
gallbladder cancer,m2 macrophage
gallbladder cancer,dendritic cell
gallbladder cancer,dendritic cell
gallbladder cancer,dendritic cell
gallbladder cancer,dendritic cell
gallbladder cancer,dendritic cell
gallbladder,squamous cell
gallbladder,squamous cell
gallbladder,squamous cell
gallbladder,adenocyte
gallbladder cancer tissue,treg cell
gallbladder cancer tissue,m2 macrophage
gallbladder cancer tissue,epithelial cell (subtype 2)
gallbladder cancer tissue,epithelial cell (subtype 2)
gallbladder cancer tissue,epithelial cell (subtype 2)
gallbladder cancer,epithelial cancer cells (subtype 2)
gallbladder cancer,epithelial cancer cells (subtype 2)
gallbladder cancer,epithelial cancer cells (subtype 2)
gallbladder cancer (gbc) tissue,tregs
gallbladder cancer (gbc) tissue,immunosuppressive macrophages
gallbladder cancer (gbc) tissue,m1/m2 macrophages
gallbladder cancer (gbc) tissue,endothelial-dcn
gallbladder cancer (gbc) tissue,caf-acta2
gallbladder cancer (gbc) tissue,caf-mfap5
blood,t helper cell
blood,cytotoxic t cell
blood,b cell
blood,γδ t cell
blood,vδ2 t cell
blood,mucosal-associated invariant t cell (mait cell)
blood,invariant natural killer t cell (inkt cell)
esophageal tissue,epithelial cells
esophageal tissue,epithelial cells
esophageal tissue,mast cells
esophageal tissue,mast cells
esophageal tissue,endothelial cells
esophageal tissue,endothelial cells
esophageal tissue,fibroblasts
esophageal tissue,fibroblasts
esophageal tissue,t cells
esophageal tissue,t cells
esophageal tissue,myeloid cells
esophageal tissue,myeloid cells
esophageal tissue,b cells
esophageal tissue,b cells
esophageal tissue,cancer cells
esophageal tissue,cancer cells
esophageal tissue,plasma b cell
esophageal tissue,plasma b cell
esophageal tissue,plasma b cell
esophageal tissue,follicular b cell (cluster 2)
esophageal tissue,follicular b cell (cluster 2)
esophageal tissue,follicular b cell (cluster 2)
esophageal tissue,follicular b cell (cluster 3)
esophageal tissue,follicular b cell (cluster 3)
esophageal tissue,follicular b cell (cluster 3)
esophageal tissue,macrophage
esophageal tissue,macrophage
esophageal tissue,macrophage
esophageal tissue,dendritic cell (dc)
esophageal tissue,macrophage
esophageal tissue,nkt/cd8+ t cells
esophageal tissue,nkt/cd8+ t cells
esophageal tissue,nkt/cd8+ t cells
esophageal tissue,regulated/cd4+ t cells
esophageal tissue,regulated/cd4+ t cells
esophageal tissue,regulated/cd4+ t cells
esophageal tissue,t follicular helper cells
esophageal tissue,t follicular helper cells
esophageal tissue,t follicular helper cells
esophageal tissue,macrophages (phase 3)
esophageal tissue,macrophages (phase 3)
esophageal tissue,macrophages (phase 3)
esophageal tissue,nkt/cd8+ t cells
esophageal tissue,nkt/cd8+ t cells
esophageal tissue,nkt/cd8+ t cells
blood,circulating tumor cell
blood,circulating tumor cell
blood,circulating tumor cell
blood,cd8+ t cell
blood,cd4+ t cell
blood,mait cell
blood,mait cell
blood,"cytotoxic cd4+ t cells (cd4 ctl, c13 cluster)"
blood,"cytotoxic cd4+ t cells (cd4 ctl, c13 cluster)"
blood,"cytotoxic cd4+ t cells (cd4 ctl, c13 cluster)"
blood,"cytotoxic cd4+ t cells (cd4 ctl, c13 cluster)"
brain vessels,cd8+ t cells
brain vessels,cd8+ t cells
brain vessels,cd8+ t cells
brain vessels,cd8+ t cells
brain vessels,cd8+ t cells
brain vessels,cd8+ t cells
brain vessels,cd8+ t cells
brain vessels,cd8+ t cells
brain vessels,cd4 ctls
brain vessels,cd4 ctls
brain vessels,cd4 ctls
brain vessels,cd4 ctls
brain vessels,cd4 ctls
brain vessels,cd4 ctls
brain vessels,cd4 ctls
brain vessels,cd4 ctls
brain vessels,central memory cd8+ t cells
brain vessels,central memory cd8+ t cells
brain vessels,central memory cd8+ t cells
brain vessels,central memory cd8+ t cells
brain vessels,central memory cd8+ t cells
peripheral blood,naïve cd4+ t cell
peripheral blood,naïve cd4+ t cell
peripheral blood,naïve cd4+ t cell
peripheral blood,naïve cd4+ t cell
peripheral blood,cd3+ t cell
peripheral blood,cd8 ctl
peripheral blood,cd4 ctl
yolk sac,ysmps (yolk sac myeloid-biased progenitors)
yolk sac,ysmps (yolk sac myeloid-biased progenitors)
yolk sac,ysmps (yolk sac myeloid-biased progenitors)
yolk sac,ysmps (yolk sac myeloid-biased progenitors)
peripheral blood,treg
peripheral blood,non-treg
peripheral blood,non-treg
peripheral blood,non-treg
peripheral blood,treg
peripheral blood,treg
peripheral blood,treg
peripheral blood,treg
blood,mait cell
blood,mait cell
blood,mait cell
blood,mait cell
blood,mait cell
smg,"duct cells, oncocytes, mucous cells, myoepithelial cells"
smg,"duct cells, oncocytes, mucous cells, myoepithelial cells"
smg,"duct cells, oncocytes, mucous cells, myoepithelial cells"
smg,"duct cells, oncocytes, mucous cells, myoepithelial cells"
smg,transitional basal progenitors
smg,transitional basal progenitors
smg,transitional basal progenitors
smg,epithelial cells
smg,epithelial cells
smg,epithelial cells
smg,quiescent cells
n-scj,transitional basal cells (c1 and c2)
n-scj,transitional basal cells (c1 and c2)
n-scj,transitional basal cells (c1 and c2)
n-scj,residual embryonic cells (c3)
n-scj,residual embryonic cells (c3)
n-scj,muc5bhigh cell type (c4)
submandibular gland (smg),intercalated and main duct cells
submandibular gland (smg),intercalated and main duct cells
submandibular gland (smg),intercalated and main duct cells
barrett's esophagus (be),columnar cells
barrett's esophagus (be),columnar cells
barrett's esophagus (be),goblet cells
barrett's esophagus (be),goblet cells
barrett's esophagus (be),enteroendocrine-like cells
barrett's esophagus (be),enteroendocrine-like cells
barrett's esophagus (be),undifferentiated cells
esophagus,barrett's esophagus cell
esophagus,barrett's esophagus cell
esophagus,pathogenic effector th2 cells
peripheral blood,memory cd4+ t cells
esophagus,th17 cells
esophagus,th17 cells
esophagus,th17 cells
esophagus,cd8+ cells
esophagus,cd8+ cells
esophagus,cd8+ cells
esophagus and duodenum,t cells
esophagus and duodenum,t cells
duodenum,t cells
esophagus,cd4+ t cells
esophagus,peth2 cell
peripheral blood,peth2 cell
peripheral blood,peth2 cell
peripheral blood,cd4+ t cell
peripheral blood,peth2 cell
esophagus,peth2 cell
esophagus,peth2 cell
esophagus,peth2 cell
esophagus,peth2 cell
esophagus,peth2 cell
esophagus,peth2 cell
esophagus,peth2 cell
esophagus,peth2 cell
peripheral blood,memory cd4+ t cell
peripheral blood,memory cd4+ t cell
peripheral blood,memory cd4+ t cell
peripheral blood,memory cd4+ t cell
peripheral blood,memory cd4+ t cell
peripheral blood,t cell
peripheral blood,t cell
esophageal tissue,stratified esophageal cells
esophageal tissue,glandular be cells
esophageal tissue,goblet cells
esophageal tissue,goblet cells
esophageal tissue,goblet cells
esophageal tissue,goblet cells
esophageal tissue,goblet cells
esophageal tissue,immune cells
esophageal tissue,immune cells
esophageal tissue,immune cells
esophageal tissue,columnar-epithelial cells (intestinal-like)
esophageal tissue,columnar-epithelial cells (cardia-like)
esophageal tissue,columnar-epithelial cells (cardia-like)
esophageal tissue,columnar-epithelial cells (cardia-like)
esophageal tissue,epithelial cell
esophageal tissue,lamina propria cell
squamous epithelium (se) epithelium,se-specific cell
barrett's esophagus (be),be-specific cell
barrett's esophagus (be),be-specific cell
barrett's esophagus (be),be-specific cell
barrett's esophagus (be),be-specific cell
squamous epithelium (se),se-specific cell
squamous epithelium (se),se-specific cell
esophageal tissue,squamous epithelial cell
esophageal tissue,columnar epithelial cell
esophageal tissue,intestinal-type cell
esophageal tissue,intestinal-type cell
esophageal tissue,cardia-stomach cell
esophageal tissue,cardia-stomach cell
pbmc,platelet
pbmc,b-cell
pbmc,monocyte
escc tumors,mucosal cells
escc tumors,mucosal cells
escc tumors,mucosal cells
escc tumors,mucosal cells
escc tumors,stress cells
escc tumors,stress cells
escc tumors,stress cells
escc tumors,antigen presentation (ap) cells
escc tumors,antigen presentation (ap) cells
escc tumors,antigen presentation (ap) cells
escc tumors,cycling cells
escc tumors,cycling cells
escc tumors,cycling cells
escc tumors,epi1 cells
escc tumors,epi1 cells
escc tumors,epi1 cells
escc tumors,epi2 cells
escc tumors,epi2 cells
escc tumors,epi2 cells
escc tumors,epi2 cells
escc tumors,mesenchymal-like cells
escc tumors,mesenchymal-like cells
escc tumor,t follicular helper 1 (tfh1) cell
escc tumor,exhausted t (tex) cell
escc tumor,exhausted t (tex) cell
escc tumor,exhausted t (tex) cell
escc tumor and adjacent normal tissues,germinal center b2 (gc b2) cells
escc tumor and adjacent normal tissues,germinal center b2 (gc b2) cells
escc tumor and adjacent normal tissues,monocytes and tumor-associated macrophages (tams)
escc tumor and adjacent normal tissues,monocytes and tumor-associated macrophages (tams)
escc tumor and adjacent normal tissues,monocytes
escc tumor and adjacent normal tissues,tumor-associated macrophages (tams)
escc tumor and adjacent normal tissues,tumor-associated macrophages (tams)
escc tumor and adjacent normal tissues,conventional dc (cdc)
escc tumor and adjacent normal tissues,conventional dc (cdc)
escc tumor and adjacent normal tissues,conventional dc (cdc)
escc tumor and adjacent normal tissues,conventional dc (cdc)
escc tumor and adjacent normal tissues,conventional dc (cdc)
escc tumor and adjacent normal tissues,tolerogenic dc (tdc)
escc tumor and adjacent normal tissues,tolerogenic dc (tdc)
escc tumor and adjacent normal tissues,tolerogenic dc (tdc)
escc tumor and adjacent normal tissues,tolerogenic dc (tdc)
escc tumor and adjacent normal tissues,plasmacytoid dc (pdc)
escc (esophageal squamous cell carcinoma) tissue,tdc (tumor-associated dendritic cells)
escc (esophageal squamous cell carcinoma) tissue,tdc (tumor-associated dendritic cells)
escc (esophageal squamous cell carcinoma) tissue,tdc (tumor-associated dendritic cells)
escc tumor,tumor-infiltrating tdcs
escc tumor,tumor-infiltrating tdcs
escc tumor,tumor-infiltrating tdcs
peripheral blood,cd8+ t cells
escc tumor,tumor-infiltrating tdcs
escc tumor,tumor-infiltrating tdcs
escc tumor,tumor-infiltrating tdcs
peripheral blood,cd8+ t cells
retinoblastoma,cone cells
retinoblastoma,cone cells
retinoblastoma,cone cells
retinoblastoma,cone cells
retinoblastoma,cone cells
retinoblastoma,cone cells
retinoblastoma,cone cells
retinoblastoma,cone cells
retinoblastoma,cone cells
retinoblastoma,neuronal/ganglion cells
retinoblastoma,neuronal/ganglion cells
retinoblastoma,neuronal/ganglion cells
retinoblastoma,neuronal/ganglion cells
retinoblastoma,neuronal/ganglion cells
retinoblastoma,neuronal/ganglion cells
retinoblastoma,neuronal/ganglion cells
retinoblastoma,neuronal/ganglion cells
retinoblastoma,neuronal/ganglion cells
retinoblastoma,neuronal/ganglion cells
retinoblastoma,neuronal stem cell
retinoblastoma,ganglion cell
retinoblastoma,ganglion cell
retinoblastoma,ganglion cell
retinoblastoma,ganglion cell
retinoblastoma,ganglion cell
retinoblastoma,ganglion cell
retinoblastoma,ganglion cell
retinoblastoma,ganglion cell
retina,photoreceptor/cone cells (early stage)
retina,photoreceptor/cone cells (early stage)
retina,photoreceptor/cone cells (early stage)
retina,photoreceptor/cone cells (early stage)
retina,cone cells (late stage)
retina,cone cells (late stage)
retina,cone cells (late stage)
retina,cone cells (late stage)
retina,ganglion cell
retina,ganglion cell
retina,photoreceptor cell
retina,cone photoreceptor cell
retina,amacrine cell
retina,early photoreceptor/cone cells
retina,early photoreceptor/cone cells
retina,early photoreceptor/cone cells
retina,early photoreceptor/cone cells
retina,neuronal/ganglion cells
retina,neuronal/ganglion cells
retina,neuronal/ganglion cells
retina,neuronal/ganglion cells
retina,neuronal/ganglion cells
retina,late cone cells
retina,late cone cells
retina,proliferating cells
retina,hypoxic cells
retina,monocyte/microglia cells
retina,monocyte/microglia cells
retina,t-lymphocytes
retina,t-lymphocytes
retina,ganglion cell
retina,cone cell
retina,cone cell
retina,cone cell
retina,cone cell
retina,cone cell
retina,cone cell
retina,cone cell
retina,cone cell
retina,ganglion cell
retina,ganglion cell
retina,ganglion cell
retina,early photoreceptor
retina,early photoreceptor
retina,late cone
retina,late cone
retina,neuronal/ganglion
retina,neuronal/ganglion
retina,neuronal/ganglion
retina,proliferation
retina,pro-apoptotic
retina,macrophage
retina,t-cell
retina,photoreceptor cells
retina,photoreceptor cells
retina,photoreceptor cells
retina,photoreceptor cells
retina,photoreceptor cells
retina,photoreceptor cells
retina,photoreceptor cells
retinoblastoma,tumor cells
retinoblastoma,tumor cells
retinoblastoma,tumor cells
retina,muller glial cell
retina,muller glial cell
retina,bipolar cell
retina,bipolar cell
retina,cone photoreceptor cell
retina,cone photoreceptor cell
cornea,conjunctival cells
cornea,conjunctival cells
cornea,conjunctival cells
cornea,conjunctival cells
cornea,conjunctival cells
eye (iris),putative stem cells
eye (iris),ciliary body cells
eye (iris),pigmented ciliary body cells
eye,putative stem cell
eye,col9a1 high cbcs
eye,putative stem cell
eye,putative stem cell
eye,col9a1 high cbcs
eye,col9a1 high cbcs
eye,cbcs
eye,cbcs
eye,putative stem cell
eye,col9a1 high cbcs
eye,putative stem cell
eye,putative stem cell
eye,col9a1 high cbcs
eye,col9a1 high cbcs
eye,cbcs
eye,cbcs
aqueous humor,cdca
aqueous humor,cdca
aqueous humor,cdcb
aqueous humor,cdcb
aqueous humor,pdc
aqueous humor,pdc
aqueous humor,matdc
aqueous humor,matdc
aqueous humor,matdc
aqueous humor,matdc
aqueous humor,matdc
aqueous humor,granulo
aqueous humor,granulo
aqueous humor,granulo
aqueous humor,myeloid
aqueous humor,myeloid
aqueous humor,myeloid
cerebrospinal fluid,cdc type 1
cerebrospinal fluid,cdc type 1
cerebrospinal fluid,cdc type 1
cerebrospinal fluid,cdc type 2
cerebrospinal fluid,cdc type 2
cerebrospinal fluid,cdc type 2
peripheral blood,cdc type 1
peripheral blood,cdc type 1
peripheral blood,cdc type 1
peripheral blood,cdc type 1
peripheral blood,cdc type 1
peripheral blood,cdc type 2
peripheral blood,cdc type 2
peripheral blood,cdc type 2
peripheral blood,cdc type 2
aqueous humor (aqh),cd14+ monocytes/macrophages
aqueous humor (aqh),bdca-1+ (cd1c) myeloid dc
intraocular tissue,matdc cluster
intraocular tissue,matdc cluster
intraocular tissue,matdc cluster
intraocular tissue,dc5 cells
intraocular tissue,dc5 cells
intraocular tissue,granulocytes and other phagocytes
aqueous humor (aqh),cd14+ monocytes/macrophages
aqueous humor (aqh),bdca-1+ (cd1c) myeloid dc
intraocular tissue,matdc cluster
intraocular tissue,matdc cluster
intraocular tissue,matdc cluster
intraocular tissue,dc5 cells
intraocular tissue,dc5 cells
intraocular tissue,granulocytes and other phagocytes
retinal pigment epithelium (rpe),irpe
retinal pigment epithelium (rpe),irpe
fibroblast,fibroblast
retinal pigment epithelium (rpe),ipsc.rpe
retina,irpe/irpenc
retina,irpe/irpenc
retina,irpe/irpenc
retina,irpe/irpenc
retina,irpe/irpenc
retina,irpe/irpenc
retina,irpe/irpenc
retina,rpe cell
retina,rpe cell
retina,irpenc cell
esophageal epithelium,epithelial progenitor cells
esophageal epithelium,epithelial progenitor cells
esophageal epithelium,basal cell
esophageal epithelium,basal cell
esophageal epithelium,basal cell
esophageal epithelium,proliferative cell
esophageal epithelium,basal cell
esophageal epithelium,proliferative cell
esophagus,basaloid cell
esophagus,basaloid cell
esophageal epithelium,basal-1 cell
esophageal epithelium,basal-2 cell
esophageal epithelium,basal-2 cell
esophageal epithelium,suprabasal cell
esophageal epithelium,suprabasal cell
esophageal epithelium,superficial cell
esophageal epithelium,superficial cell
esophageal epithelium,basal-1 cell
esophageal epithelium,basal-1 cell
esophageal epithelium,basal-2 cell
esophageal epithelium,basal-1 cell
esophageal epithelium,basal-2 cell
esophageal epithelium,cd73+cd104+ cells
esophageal epithelium,cd73-cd104+ cells
esophageal tissue,basaloid cell
esophageal tissue,basaloid cell
esophageal epithelium,basaloid population
esophageal epithelium,basaloid population
esophagus,basal epithelium
esophagus,basal epithelium
esophageal epithelium,basal cell
esophageal epithelium,progenitor or proliferative cell
esophagus,epithelial cell
esophagus,epithelial cell
esophagus,epithelial cell
esophagus,epithelial cell
corneal endothelium,endothelial cell (c0-c2)
corneal endothelium,endothelial cell (c0-c2)
corneal endothelium,endothelial cell (c0-c2)
corneal endothelium,endothelial cell (c0-c2)
corneal endothelium,endothelial cell (c0-c2)
corneal endothelium,endothelial cell (c0-c2)
corneal endothelium,effector cell (c0)
corneal endothelium,effector cell (c0)
corneal endothelium,effector cell (c0)
corneal endothelium,effector cell (c0)
corneal endothelium,effector cell (c0)
corneal endothelium,endothelial cell (c2)
corneal endothelium,endothelial cell (c2)
corneal endothelium,endothelial cell (c2)
corneal endothelium,endothelial cell (c3)
corneal endothelium,endothelial cell (c3)
corneal endothelium,endothelial cell (c3)
corneal endothelium,c2 (cencs subtype)
corneal endothelium,c2 (cencs subtype)
corneal endothelium,c2 (cencs subtype)
corneal endothelium,c3 (cencs subtype)
corneal endothelium,c1 (cencs subtype)
cornea,endothelial cell
cornea,endothelial cell
cornea,endothelial cell
corneal tissue,hematopoietic cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,t cells
corneal tissue,innate immune cells
corneal limbus,macrophages and monocytes
corneal limbus,dendritic cells (dcs)
corneal limbus,dendritic cells (dcs)
corneal limbus,t lymphocytes
corneal limbus,t lymphocytes
corneal limbus,t lymphocytes
corneal limbus,naive t cells
corneal limbus,naive t cells
corneal limbus,naive t cells
corneal limbus,naive t cells
corneal limbus,cd8+ t cells
corneal limbus,cd8+ t cells
corneal limbus,cd8+ t cells
corneal limbus,cd8+ t cells
corneal limbus,cd8+ t cells
corneal limbus,cd8+ t cells
corneal limbus,cd8+ t cells
corneal limbus,cd8+ t cells
corneal limbus,cd8+ t cells
corneal limbus,cd8+ t cells
corneal limbus,cd8+ t cells
corneal limbus,cd8+ t cells
corneal limbus,cd8+ t cells
cornea,innate immune cells (granulocytes)
cornea,dendritic cells (mregdcs)
cornea,dendritic cells (mregdcs)
cornea,mregdcs
cornea,mregdcs
cornea,mregdcs
cornea,mregdcs
cornea,mregdcs
cornea,mregdcs
cornea,mregdcs
cornea,mregdcs
cornea,mregdcs
cornea,mregdcs
cornea,mregdcs
cornea,mregdcs
cornea,cd4+ t cells
cornea,naive t cells
cornea,cd8+ t cells
cornea,cd8+ t cells
cornea,cd8+ t cells
cornea,dendritic cells (dcs)
cornea,dendritic cells (dcs)
cornea,dendritic cells (dcs)
cornea,mregdcs (subset of dcs)
cornea,mregdcs (subset of dcs)
cornea,mregdcs (subset of dcs)
cornea,mregdcs (subset of dcs)
cornea,mregdcs (subset of dcs)
cornea,mregdcs (subset of dcs)
liver metastasis (liv.mets),spp1+ tams
liver metastasis (liv.mets),spp1+ tams
liver metastasis (liv.mets),spp1+ tams
liver metastasis (liv.mets),c1qc+ tams
liver metastasis (liv.mets),c1qc+ tams
liver metastasis (liv.mets),c1qc+ tams
liver metastasis (liv.mets),mki67+ tams
tumor microenvironment,tams (c1qc+)
tumor microenvironment,tams (spp1+)
tumor microenvironment,cdc2s (c1qc+)
liver,nk cells (liver-resident)
tumor,spp1+ tam
tumor,spp1+ tam
tumor,dc3
tumor,dc3
tumor,dc3
conjunctiva,ilc2
conjunctiva,ilc2
conjunctiva,goblet cells
conjunctiva,macrophages (retnla+ mrc1+)
conjunctiva,macrophages (retnla+ mrc1+)
conjunctiva,mdc (ccr7+ mhcii+)
conjunctiva,mdc (ccr7+ mhcii+)
conjunctiva,superficial stromal cells
conjunctiva,lymphatic vessels
conjunctiva,macrophage mhciilo
conjunctiva,macrophage mhciilo
conjunctiva,macrophage mhciilow
conjunctiva,monocyte
conjunctiva,mdc
